Hours_Studied,Attendance,Assignments_Completed,Previous_GPA,Sleep_Hours,Passed
7.71,61.28,6,6.08,8.01,0
4.86,100.0,9,8.1,6.85,1
7.01,58.55,2,8.31,6.81,1
5.72,73.4,0,9.05,7.15,1
3.71,81.96,4,6.96,7.75,0
5.72,100.0,3,7.99,6.43,1
8.08,58.46,9,8.21,6.96,1
4.93,97.45,7,6.4,6.4,1
8.13,80.15,0,7.47,6.95,1
0.0,65.28,9,7.79,5.17,0
6.64,86.93,0,5.91,10.0,1
5.17,82.99,3,8.97,5.85,1
4.4,71.0,7,6.95,6.33,1
5.18,81.05,4,7.1,5.73,0
1.02,74.22,1,5.86,7.6,1
4.56,81.7,5,6.06,6.55,1
5.71,89.93,4,4.36,5.55,1
7.96,100.0,1,7.07,7.65,1
3.96,61.43,10,10.0,7.83,1
3.38,100.0,10,5.78,6.71,1
4.0,50.72,10,10.0,5.94,1
6.83,77.72,2,8.7,9.65,1
5.66,88.82,8,6.43,7.24,1
3.94,84.21,6,7.03,5.14,1
6.03,70.66,6,6.84,8.64,1
5.19,76.88,10,9.05,5.69,1
6.94,72.6,5,7.62,10.0,1
3.6,71.16,7,8.42,6.9,1
4.34,92.74,3,7.43,8.12,1
4.22,85.36,7,6.87,4.1,1
2.07,69.61,3,7.39,5.13,0
5.59,93.49,7,6.51,8.53,1
5.52,84.61,8,5.26,7.21,1
5.01,92.19,2,7.98,9.46,1
4.53,89.44,2,5.2,7.43,0
2.17,67.57,10,6.68,6.99,1
4.16,71.6,1,6.47,9.03,0
4.31,91.21,9,7.77,8.11,1
3.4,89.16,2,8.88,6.54,1
4.68,79.69,2,8.45,5.38,0
5.81,81.76,4,7.81,3.72,1
8.77,99.16,4,6.24,6.23,1
5.35,71.13,1,6.78,5.26,0
5.52,88.21,9,6.6,10.0,1
4.85,76.97,5,6.44,5.95,1
1.16,76.73,4,6.52,5.92,0
4.95,96.48,5,6.49,4.82,1
5.12,92.38,0,6.43,6.45,0
9.93,92.2,4,8.14,5.94,1
4.62,99.58,8,5.73,9.06,1
5.6,80.32,9,6.12,7.02,1
4.93,90.23,1,5.1,6.79,1
2.66,75.35,0,8.7,6.62,1
7.29,84.86,9,6.04,7.82,1
6.5,78.05,10,7.79,6.21,1
6.58,81.45,8,7.57,7.67,1
3.18,88.93,9,8.58,8.9,1
7.81,67.73,8,6.75,7.4,1
2.2,100.0,8,5.86,6.48,1
6.17,64.91,5,5.13,5.56,0
9.38,61.79,7,3.66,6.44,0
3.02,97.37,10,7.19,7.53,1
3.87,91.87,0,7.93,4.81,0
5.2,89.36,9,7.57,7.88,1
3.99,89.43,3,5.16,7.07,0
1.9,79.82,0,8.25,6.61,1
5.14,66.54,7,6.16,5.94,0
2.88,81.14,0,5.91,6.18,0
5.95,69.84,2,6.14,7.58,1
3.16,94.63,3,7.09,6.63,0
8.1,77.79,7,5.22,6.15,1
3.43,67.62,5,6.96,7.41,0
4.36,75.18,9,7.52,7.46,1
6.63,86.19,6,8.33,5.18,1
2.54,71.54,7,7.21,7.54,0
5.45,67.67,1,5.39,10.0,0
7.61,83.66,9,7.18,7.41,1
1.79,83.67,10,5.73,4.59,0
5.37,72.4,7,5.66,7.03,1
5.52,72.93,2,5.36,4.42,0
6.56,83.48,6,4.71,10.0,1
2.53,58.28,2,6.32,9.71,0
2.36,58.89,6,8.35,5.93,1
6.04,69.22,10,9.71,3.88,1
5.59,76.8,1,6.31,5.66,0
5.5,84.66,9,8.3,6.56,1
5.69,100.0,5,6.53,4.51,1
3.64,92.86,2,5.02,6.71,0
5.46,77.6,2,7.84,6.56,0
5.59,79.71,8,7.28,6.96,1
3.57,64.96,6,9.18,7.1,1
8.73,79.72,4,5.16,5.54,0
5.95,75.67,9,10.0,5.69,1
2.62,84.84,6,8.91,6.86,1
6.31,67.59,8,6.98,5.98,1
3.05,87.79,0,6.64,7.98,1
6.57,100.0,6,6.14,6.85,0
7.32,78.37,5,7.13,9.22,1
3.36,86.03,9,6.78,7.87,0
6.93,90.35,8,7.62,8.23,1
5.83,73.98,0,6.65,6.97,1
6.64,83.36,3,8.7,7.0,1
8.79,80.19,8,7.15,9.05,1
4.51,81.47,3,6.69,6.31,0
3.49,68.4,9,8.23,7.51,1
3.22,80.37,2,5.05,6.45,0
3.37,87.47,8,7.41,6.45,1
4.85,100.0,1,7.03,5.28,0
5.68,94.39,3,5.31,5.83,0
5.55,100.0,5,4.95,5.59,0
6.65,68.49,1,8.21,7.57,1
5.03,93.08,7,8.16,8.15,1
7.91,82.75,7,7.21,6.68,1
4.47,100.0,0,9.06,7.1,1
10.44,67.88,2,7.53,6.6,1
6.25,67.4,9,8.5,5.75,1
3.29,71.01,8,7.5,7.92,1
2.86,48.14,4,6.67,7.65,0
5.96,72.11,5,5.73,4.34,0
4.55,68.61,3,6.28,6.43,0
6.43,82.26,9,6.69,5.65,1
5.95,85.13,1,8.64,6.29,1
4.85,100.0,10,7.92,5.93,1
3.31,94.26,7,7.4,6.74,1
1.97,71.35,10,8.04,6.37,1
4.11,66.52,5,7.63,6.34,1
6.71,87.38,4,7.31,8.24,1
5.43,60.2,8,5.2,7.52,0
2.51,100.0,0,8.37,5.88,0
5.35,97.69,4,6.45,6.08,1
5.77,72.96,5,8.31,7.44,1
3.23,54.3,4,8.42,7.44,1
5.31,100.0,5,6.2,6.02,1
5.12,78.28,5,8.14,6.5,1
2.71,98.57,6,6.57,9.2,1
