Attendance_Percentage,Study_Hours_per_Day,Social_Media_Hours_per_Day,Sleep_Hours_per_Night,Previous_Semester_SGPA,Cleared_in_First_Attempt
71,0.9,3.9,6.1,4.37,No
70,2.7,4.8,6.1,4.05,No
44,3.5,1.6,7.5,5.04,No
83,4.1,3.9,5.1,7.06,Yes
93,3.3,2.0,7.4,7.11,No
72,5.9,4.9,6.5,5.64,Yes
68,2.7,1.3,5.5,5.89,Yes
86,3.4,2.8,8.0,5.39,No
78,5.4,5.4,4.5,5.54,Yes
69,4.8,1.7,6.1,6.02,No
63,2.3,1.7,7.7,4.37,No
70,1.5,5.3,6.3,5.53,No
43,3.2,2.6,6.9,4.68,Yes
74,2.4,6.1,7.2,,No
92,4.1,2.7,8.0,6.99,Yes
39,0.8,3.8,3.1,3.97,No
35,,6.0,7.5,4.62,No
82,1.4,0.2,6.8,6.15,No
100,3.0,2.3,7.3,7.9,No
100,4.4,3.8,7.4,6.25,Yes
67,7.0,6.7,4.0,5.0,No
80,3.4,3.9,7.7,,No
88,4.9,0.7,6.7,7.33,Yes
48,1.7,4.4,6.4,5.25,Yes
43,0.0,6.5,5.8,3.76,No
67,4.7,2.3,5.1,6.64,No
56,3.5,4.7,6.5,5.42,No
75,2.6,4.7,6.7,5.6,Yes
65,2.0,4.6,6.5,4.08,No
97,3.6,6.0,,5.42,Yes
81,0.0,5.5,6.8,5.03,No
68,1.2,2.9,6.1,4.72,No
39,2.1,1.9,7.3,6.61,No
77,3.6,2.4,5.9,7.49,Yes
75,3.7,3.7,3.9,6.19,Yes
67,4.0,4.7,7.5,5.59,No
61,2.8,3.2,4.5,4.43,No
62,4.1,5.8,8.3,6.66,Yes
92,1.1,2.3,5.7,5.5,No
90,2.3,5.0,4.9,6.02,Yes
65,1.5,6.0,6.4,5.51,No
76,3.7,4.1,6.6,6.44,Yes
77,2.2,2.8,8.3,5.91,Yes
51,3.9,4.5,7.5,4.76,No
60,3.6,3.8,7.1,5.95,No
90,2.8,6.1,5.9,4.67,No
55,1.8,0.3,8.3,6.15,Yes
62,3.4,1.8,9.0,6.76,Yes
67,,4.1,5.8,4.86,No
67,4.2,2.9,5.7,5.53,No
56,0.3,2.6,8.1,5.04,No
65,3.1,3.1,6.7,6.78,Yes
41,2.3,0.0,7.5,4.06,No
80,2.0,5.7,8.6,5.32,No
68,5.2,3.2,8.8,5.51,No
48,2.2,3.0,7.4,5.47,No
61,0.0,2.1,7.6,4.54,No
38,3.8,6.3,7.0,5.09,No
53,4.6,1.0,8.7,4.72,Yes
44,3.7,0.0,7.3,4.98,No
100,0.0,2.6,6.7,5.04,No
74,2.9,3.3,7.9,6.04,No
70,1.6,3.3,4.5,5.21,No
56,5.3,2.2,,4.7,Yes
74,2.4,1.4,6.2,5.67,No
72,3.5,4.2,4.6,3.76,No
82,3.4,1.2,,5.91,No
63,4.3,2.7,6.3,5.93,No
61,5.2,3.7,5.3,6.13,No
60,2.8,2.8,6.2,6.23,No
66,1.2,6.7,6.3,4.64,No
72,5.4,4.9,7.9,,Yes
89,2.3,3.7,5.1,6.13,Yes
88,4.0,2.9,6.5,5.74,No
67,2.4,1.7,6.4,5.19,No
100,2.9,7.4,7.3,5.88,No
77,0.7,2.9,5.1,5.55,No
78,2.8,2.3,6.7,8.1,No
82,3.7,4.1,8.1,5.59,Yes
89,1.7,2.3,7.1,5.31,No
84,4.8,4.6,6.9,4.98,Yes
61,5.3,,4.6,4.95,Yes
64,3.1,1.5,7.6,6.66,No
50,3.6,4.9,6.8,4.05,No
78,3.5,4.9,5.2,5.79,No
84,2.3,3.7,6.0,6.35,No
85,1.9,3.1,7.0,6.21,Yes
74,1.8,0.5,6.6,4.89,No
79,1.2,3.4,6.3,6.0,No
45,2.1,1.9,8.2,6.89,Yes
63,4.5,4.7,5.1,5.99,No
62,2.3,5.3,,4.27,No
92,3.8,5.9,5.9,6.01,No
75,3.7,4.8,7.3,5.86,No
74,3.2,7.1,6.5,5.55,No
50,3.4,2.2,5.7,4.53,No
51,1.2,2.5,6.3,6.08,No
67,3.1,4.0,6.9,5.84,Yes
81,2.1,3.4,6.7,5.67,No
56,4.8,2.7,5.7,5.23,No
92,3.7,5.4,3.9,5.32,No
58,4.2,1.8,5.5,6.75,No
78,2.8,4.9,6.9,4.35,No
59,1.9,4.1,7.8,5.85,No
88,2.6,1.4,6.8,7.73,Yes
98,0.7,4.0,5.8,4.53,No
79,1.6,1.0,6.9,5.77,No
60,0.9,,7.8,4.58,No
56,2.6,3.5,7.2,4.98,No
59,4.3,3.6,8.2,6.17,No
63,2.6,,5.7,4.63,No
61,1.3,2.2,5.3,5.12,No
89,3.8,1.2,8.0,5.27,No
71,0.4,3.2,7.4,5.24,No
78,1.2,,8.1,6.36,Yes
51,3.4,2.5,6.9,6.34,No
65,4.7,2.9,4.2,5.18,No
79,2.7,3.2,5.7,6.36,No
63,0.2,3.0,6.4,5.73,No
74,3.2,3.3,5.5,5.3,No
64,5.8,5.2,7.0,4.87,No
88,4.5,4.6,5.8,5.95,No
70,2.2,2.7,4.9,4.93,No
61,2.5,4.5,7.7,5.2,No
74,3.8,5.6,7.2,5.2,Yes
74,3.8,5.0,5.7,5.67,Yes
84,0.5,2.3,5.9,5.56,No
51,3.1,2.9,5.9,5.32,No
56,5.0,4.3,7.5,5.59,No
73,2.8,3.0,7.4,5.85,Yes
61,2.5,6.9,5.7,4.77,No
72,5.6,6.2,6.1,5.52,No
73,3.0,2.5,8.0,5.18,Yes
56,4.1,3.5,7.0,5.5,No
74,4.2,2.7,7.1,4.9,No
62,3.3,5.9,8.4,4.55,No
46,1.8,2.9,6.9,4.55,No
69,0.3,4.8,6.1,3.51,No
63,1.9,3.3,6.1,4.36,No
60,2.3,4.5,6.0,4.28,No
71,4.6,4.8,7.7,5.89,No
77,3.9,5.6,7.4,5.32,No
61,1.6,4.0,7.1,5.35,No
82,2.4,4.2,6.8,5.64,No
55,1.9,3.7,7.4,4.09,No
61,1.3,3.8,5.1,4.42,No
92,2.7,4.9,6.5,,No
58,4.4,1.5,6.2,5.13,Yes
69,1.0,3.0,4.9,5.55,No
58,4.8,2.3,7.4,5.39,No
91,3.3,2.4,6.6,5.18,Yes
57,3.2,5.3,6.9,4.32,No
95,2.6,1.9,6.6,7.21,Yes
86,3.1,3.8,5.4,5.3,No
76,2.9,2.0,4.9,5.46,Yes
82,3.1,3.8,4.5,5.0,No
99,2.2,3.4,5.7,7.41,Yes
62,4.0,2.4,6.7,4.98,Yes
72,0.0,5.1,8.2,3.63,No
69,4.2,2.3,4.1,4.43,No
58,3.8,2.5,4.0,5.64,Yes
63,3.8,1.1,5.8,6.23,Yes
74,3.6,3.1,7.3,6.69,No
100,3.4,1.6,7.1,6.63,Yes
53,4.1,4.7,,6.08,No
69,3.6,6.3,4.1,5.13,No
64,2.4,6.5,4.6,,No
78,2.0,5.6,7.8,6.07,No
78,2.9,2.2,6.9,6.64,Yes
50,5.1,3.4,7.6,5.29,No
72,4.2,2.8,7.5,7.09,Yes
38,3.7,2.0,9.0,6.54,No
86,0.0,3.2,6.0,5.65,No
44,0.6,3.5,6.1,3.78,No
56,3.5,3.0,6.9,5.47,No
76,4.8,4.1,7.9,5.41,Yes
60,2.3,3.2,4.5,4.1,Yes
75,3.1,2.7,5.8,5.76,No
97,2.3,3.9,6.3,6.36,Yes
86,1.3,4.8,6.6,4.46,Yes
62,2.3,4.0,7.3,,No
66,3.2,3.4,8.2,6.62,No
52,5.6,3.8,7.5,6.13,Yes
85,2.8,6.5,6.6,4.27,No
77,3.0,2.2,6.7,4.94,No
57,5.2,3.9,6.6,5.26,No
74,3.9,4.4,8.8,5.23,No
46,3.9,2.3,7.5,5.09,No
75,4.0,3.2,5.3,5.74,No
89,2.3,3.7,6.3,6.64,No
80,3.1,1.8,5.6,5.79,Yes
74,3.7,3.0,7.8,7.2,Yes
85,2.4,1.2,4.5,5.75,No
63,2.8,5.7,5.8,4.45,No
37,2.7,0.6,5.9,4.6,No
90,1.2,2.8,6.0,6.04,No
83,5.1,0.5,5.5,7.97,Yes
75,2.4,6.2,6.2,4.91,No
71,2.1,5.8,7.7,5.55,Yes
82,3.5,6.2,6.9,4.26,No
82,5.4,3.1,7.1,5.62,No
67,2.1,5.4,7.6,4.67,No
89,3.0,2.8,7.4,6.06,No
81,0.0,4.1,4.4,4.94,No
61,5.8,4.0,6.5,6.79,No
100,2.1,3.7,6.5,5.72,Yes
58,0.0,2.1,4.9,5.28,No
40,4.6,4.4,8.3,4.35,No
50,1.0,3.9,5.1,5.5,No
87,0.9,2.9,5.9,5.59,Yes
88,1.3,5.2,6.3,4.15,No
55,2.1,1.8,7.6,4.34,No
61,5.4,1.9,6.2,5.79,No
61,0.8,2.3,5.5,4.54,Yes
82,4.1,1.9,8.3,7.28,Yes
52,1.8,2.7,,4.53,No
84,2.0,4.0,4.8,4.63,Yes
72,2.4,2.3,6.7,5.7,No
61,2.7,4.4,7.3,5.7,No
63,3.5,5.5,6.9,5.75,No
66,0.3,6.1,7.3,3.92,No
66,6.4,1.0,6.9,6.33,No
59,2.9,4.7,5.7,5.58,Yes
100,1.1,4.1,4.5,6.82,No
78,5.1,2.8,8.0,5.95,Yes
83,2.7,3.2,6.4,6.06,No
72,2.7,3.3,6.9,4.91,No
74,4.3,5.0,6.3,6.2,No
65,0.0,4.8,6.2,2.81,No
87,4.0,5.3,7.7,5.6,Yes
71,3.3,2.4,6.3,5.68,No
60,2.0,3.4,7.3,4.66,No
29,2.5,5.4,4.7,4.35,No
56,1.9,3.5,4.8,4.23,Yes
67,3.1,5.5,5.6,4.79,No
70,3.3,3.1,3.7,6.06,Yes
52,1.2,5.5,6.7,3.5,No
37,1.7,2.7,5.2,4.36,No
100,0.0,0.8,6.1,6.42,Yes
70,1.2,4.2,6.0,5.44,No
65,1.7,3.5,5.7,5.37,No
72,0.0,0.1,4.8,3.66,No
53,3.6,2.8,7.1,6.2,Yes
86,4.0,4.8,7.3,6.58,No
62,6.4,3.0,7.2,7.5,No
59,3.6,5.4,6.2,4.57,No
61,1.7,2.7,6.3,4.9,Yes
59,2.9,2.8,4.9,6.11,No
53,3.6,1.2,6.2,7.14,Yes
76,3.5,6.0,6.1,5.04,No
78,1.4,6.4,6.8,5.25,No
50,5.0,5.8,5.5,5.0,Yes
65,4.0,4.3,6.5,5.04,No
72,4.5,1.5,6.1,4.73,No
62,4.7,3.6,7.3,4.93,No
81,4.2,1.0,8.2,6.45,Yes
93,3.9,4.5,7.4,5.35,No
77,3.7,2.4,6.4,5.28,No
70,3.3,2.9,6.1,6.05,No
58,2.7,2.0,7.0,6.25,No
48,3.2,,4.4,5.04,No
58,1.7,3.4,5.9,3.88,No
81,4.3,6.1,6.9,6.24,No
55,2.2,4.0,5.2,4.24,No
88,2.2,6.1,6.4,4.67,No
64,3.1,4.8,7.3,5.17,Yes
52,3.2,4.6,7.3,4.55,No
73,3.2,,5.0,4.67,No
56,4.2,1.3,5.1,5.41,No
82,,1.4,5.9,7.11,Yes
57,1.8,,7.6,5.42,No
39,2.6,2.5,5.9,4.69,No
62,2.7,4.4,6.5,6.53,No
46,3.0,4.7,6.5,4.92,No
81,3.3,3.4,6.6,3.79,No
85,1.5,1.2,6.7,4.64,No
61,4.0,5.7,7.8,5.06,No
93,3.4,1.7,6.4,6.58,Yes
57,2.0,5.2,5.6,4.85,No
65,3.7,6.0,6.8,6.48,No
53,2.3,3.5,3.8,5.95,No
44,3.1,1.9,6.2,4.45,No
75,1.9,2.9,4.8,5.47,Yes
92,4.1,7.9,6.1,6.05,No
63,2.8,4.4,7.6,5.79,No
70,3.4,3.8,,3.1,No
51,3.8,3.1,5.4,4.53,No
61,4.2,3.6,6.6,6.45,No
46,4.5,3.3,7.3,5.47,No
92,4.2,3.0,7.7,5.67,Yes
51,3.3,4.8,6.1,5.27,No
69,3.3,5.3,5.4,4.94,No
93,1.8,1.9,6.5,5.93,Yes
71,,6.1,6.2,4.78,No
68,0.7,5.8,7.4,5.68,No
74,4.1,3.7,7.3,5.75,Yes
50,1.8,7.1,6.6,3.65,No
42,5.2,2.1,5.4,6.98,Yes
73,3.7,3.6,5.8,4.96,No
71,3.4,5.7,6.6,5.49,No
74,3.1,3.3,7.8,5.69,No
32,4.9,2.2,5.7,5.51,No
49,1.8,3.8,6.9,3.94,No
71,3.9,4.8,7.3,4.9,No
67,4.0,3.7,8.6,7.58,Yes
83,3.1,5.4,7.6,4.54,No
74,2.9,4.3,6.0,6.1,No
87,5.2,0.6,3.7,7.72,No
86,1.5,2.9,5.3,5.81,No
79,0.6,4.2,5.8,4.15,No
68,2.9,2.9,5.6,5.93,Yes
74,2.8,,5.7,6.04,Yes
76,3.1,4.3,4.6,5.6,No
87,2.1,6.2,6.8,6.0,No
64,,4.2,6.5,5.05,No
76,0.8,4.4,,5.96,No
49,6.4,3.6,9.4,5.71,No
64,1.4,4.4,8.0,4.22,No
73,3.8,2.2,7.3,6.48,No
75,2.9,4.6,6.4,4.19,No
79,3.0,3.8,6.2,6.38,Yes
59,2.1,4.1,6.9,5.19,No
70,4.2,4.9,7.1,5.27,Yes
62,2.5,,5.1,5.33,No
97,2.7,3.2,7.1,5.05,No
47,1.4,4.3,6.5,4.7,No
100,5.1,4.2,7.5,6.91,No
80,2.6,1.6,8.2,5.04,No
29,2.1,2.6,4.9,4.5,No
62,3.0,3.4,7.2,5.65,No
73,6.1,4.6,6.8,6.1,No
69,0.5,4.6,7.7,4.84,Yes
45,5.2,5.6,6.7,5.58,Yes
52,5.4,4.8,6.2,5.19,No
71,2.8,6.7,6.4,3.89,No
49,0.0,3.2,4.9,5.33,No
82,2.5,5.4,6.2,5.97,No
66,2.4,1.3,7.3,3.92,No
78,0.4,4.3,7.2,5.86,No
53,0.2,3.6,6.3,3.99,No
49,4.7,3.3,8.3,5.03,No
85,3.9,3.4,6.3,7.53,Yes
69,1.3,3.4,7.6,4.97,No
45,3.3,4.0,4.9,5.3,No
57,0.9,3.3,7.1,6.33,No
72,0.9,4.8,6.6,4.85,No
47,2.1,1.6,6.1,4.68,No
27,1.8,4.0,7.2,4.22,No
47,2.5,4.0,6.7,4.69,No
81,2.9,3.3,7.0,5.93,Yes
43,1.8,4.3,7.2,3.66,No
84,3.8,1.1,5.8,7.69,Yes
74,4.5,3.4,8.6,5.67,No
58,0.7,2.9,8.3,4.24,No
87,5.7,4.7,6.4,5.51,Yes
49,2.4,4.3,7.1,5.61,No
60,3.0,4.2,5.6,5.43,No
68,2.8,4.5,5.0,5.93,No
63,3.6,0.8,7.2,6.6,Yes
70,3.4,4.1,8.3,5.27,Yes
78,3.7,5.5,6.2,6.02,Yes
60,0.3,3.8,6.8,5.31,Yes
92,6.0,3.4,5.4,6.62,Yes
55,4.7,3.5,4.7,5.38,No
65,0.9,3.3,5.9,3.89,No
76,,3.7,6.4,6.9,No
67,0.0,2.9,7.7,3.9,No
48,0.5,6.5,5.0,3.9,No
69,2.7,3.4,5.3,6.24,No
55,3.7,4.7,5.3,4.43,No
95,4.3,3.3,8.1,6.29,Yes
91,1.0,3.4,8.5,5.2,No
71,6.0,4.7,8.8,,Yes
65,4.0,3.9,8.1,4.36,No
85,1.1,3.6,6.8,5.25,No
87,3.3,3.1,6.5,5.98,No
76,2.4,3.8,7.4,5.42,No
90,1.1,3.7,6.3,5.99,No
75,2.2,2.4,8.3,5.48,No
71,,4.2,7.2,4.06,No
74,0.6,4.4,6.1,4.74,Yes
61,2.6,5.1,5.8,4.76,No
81,3.7,4.1,6.7,6.39,Yes
66,4.5,3.4,6.3,5.28,No
74,3.7,1.9,7.3,6.35,Yes
65,2.3,2.7,6.8,5.19,No
76,3.0,4.2,6.6,5.2,No
73,3.5,2.4,9.3,5.05,Yes
84,3.4,0.2,7.5,6.92,Yes
61,2.9,4.9,7.2,6.53,No
60,2.9,3.5,5.7,6.92,No
80,,3.3,4.3,6.48,Yes
95,3.0,2.7,10.0,6.41,No
65,2.5,3.8,6.2,5.49,No
79,1.2,3.4,5.0,5.1,Yes
56,4.1,2.8,6.3,5.51,Yes
62,3.4,5.2,7.1,7.25,No
70,2.0,1.6,7.1,6.4,No
74,2.7,0.8,4.9,6.43,Yes
73,3.1,5.0,3.0,4.41,No
66,4.1,3.9,8.1,5.63,No
48,2.5,2.4,8.4,5.2,No
50,3.0,2.3,8.2,5.13,No
89,5.1,3.5,6.4,5.51,Yes
63,0.0,3.9,5.3,3.83,No
69,1.6,5.0,7.4,4.84,No
72,3.6,4.4,6.7,5.1,No
100,4.4,3.0,7.1,5.63,No
65,1.4,3.5,6.6,5.4,No
84,1.6,4.3,5.5,5.98,No
55,3.1,5.8,7.1,6.32,No
62,0.5,3.8,6.6,4.84,No
77,2.7,3.9,5.6,5.9,Yes
79,2.8,2.8,6.3,6.37,No
75,2.7,3.3,7.0,5.06,No
70,1.6,4.0,5.9,5.82,No
68,2.1,3.6,8.4,5.5,Yes
88,0.4,3.5,5.0,5.25,Yes
92,1.1,1.6,4.1,5.26,No
68,2.5,3.7,7.0,4.66,Yes
69,3.9,5.4,5.1,5.13,No
65,3.3,5.6,7.1,5.52,No
62,4.0,5.5,7.5,4.61,No
81,3.5,1.6,5.8,5.47,Yes
67,5.1,5.0,7.9,6.45,No
73,1.8,4.7,5.1,5.23,Yes
76,3.7,6.6,7.2,7.01,No
22,3.4,4.1,3.4,2.74,No
60,3.1,4.0,6.3,,No
71,2.1,3.9,,5.84,No
81,1.9,6.9,6.8,5.71,No
93,2.4,3.2,6.8,6.27,No
70,1.0,5.2,9.0,5.24,No
47,1.1,2.9,8.3,5.3,No
78,2.9,3.5,5.0,5.56,Yes
68,2.9,3.3,7.0,6.14,No
99,2.8,2.4,5.7,6.55,Yes
88,0.8,5.1,8.2,5.36,No
50,0.8,5.7,7.0,4.27,No
60,2.1,5.4,6.3,5.39,No
92,6.0,3.9,8.5,6.64,No
71,1.5,5.6,7.8,5.66,No
78,4.0,1.7,6.2,6.52,Yes
66,2.3,5.5,6.3,5.52,No
97,1.2,5.4,7.5,6.93,No
72,3.0,5.1,6.4,6.72,No
82,1.8,4.4,5.2,6.18,No
48,3.2,4.9,6.0,5.01,No
51,3.2,3.9,6.9,5.28,Yes
100,0.1,4.1,6.9,4.49,No
52,3.8,3.4,4.6,5.73,No
79,1.5,3.3,6.1,6.33,No
83,3.3,2.3,5.5,4.98,No
74,3.1,1.4,8.3,6.55,Yes
84,4.9,6.6,6.6,6.32,No
42,2.9,2.5,7.1,4.38,No
88,3.4,2.4,5.6,6.96,Yes
34,1.0,5.4,7.3,6.1,No
82,4.9,7.3,5.7,5.5,Yes
100,3.7,5.4,6.4,4.29,No
88,2.1,,5.2,5.39,Yes
71,4.7,2.3,6.9,,Yes
66,4.0,5.8,3.4,5.89,No
69,2.6,3.7,9.8,5.43,No
53,0.2,1.0,7.6,4.51,No
67,3.2,3.1,6.2,5.11,No
48,2.6,5.1,8.0,4.41,No
57,5.7,2.4,7.3,6.2,Yes
83,3.6,4.8,5.7,5.2,No
82,1.3,2.1,6.0,5.99,Yes
76,4.4,2.3,4.8,6.71,Yes
72,1.6,4.7,6.2,,No
43,2.9,2.6,5.9,4.4,No
64,2.9,4.7,6.0,5.36,No
68,1.7,1.0,5.5,6.67,No
46,0.2,2.9,6.8,4.59,No
49,3.9,4.8,5.8,4.0,No
84,3.3,6.5,5.3,6.73,Yes
74,2.3,5.3,7.0,5.39,No
52,1.2,3.4,6.8,5.59,No
90,,5.1,4.7,6.84,No
84,1.8,3.6,6.5,5.38,Yes
68,1.7,5.2,7.3,5.48,Yes
51,1.9,5.0,5.2,4.24,No
93,3.3,7.0,6.3,5.65,No
95,2.7,4.7,4.8,5.72,Yes
87,6.3,2.8,9.4,7.79,Yes
86,4.7,4.0,8.0,5.25,No
69,0.5,2.4,5.4,4.56,No
71,3.2,2.1,7.2,6.14,No
90,4.6,3.3,6.2,7.22,Yes
73,3.3,3.7,6.5,6.38,No
57,1.2,3.0,7.8,5.7,No
56,4.0,1.1,7.7,4.55,No
86,2.9,1.4,5.9,5.08,Yes
100,2.3,4.2,5.5,,No
78,3.1,1.5,7.7,5.25,No
100,3.1,4.6,5.7,5.57,Yes
40,1.4,5.8,8.7,3.21,No
51,0.6,2.9,,4.91,No
62,,3.1,6.8,6.24,Yes
40,2.0,4.7,5.8,4.5,No
66,2.7,3.1,3.6,5.58,No
87,3.5,2.3,5.9,5.95,Yes
39,3.7,3.0,4.7,4.06,No
83,2.5,3.0,6.3,6.89,No
51,3.1,4.6,7.4,6.26,No
57,3.8,2.4,6.5,5.64,No
67,2.2,4.9,6.8,6.6,No
69,1.7,4.8,5.9,4.52,Yes
85,2.1,2.1,5.2,5.06,Yes
67,6.1,5.1,7.9,5.67,Yes
80,3.8,0.2,5.4,5.03,No
85,1.8,2.2,4.7,5.19,No
71,3.3,1.5,6.8,5.31,No
100,3.0,5.4,5.3,5.77,Yes
60,4.2,4.2,6.8,6.55,Yes
57,5.9,3.1,7.0,5.79,No
58,2.3,4.7,7.2,4.96,No
100,2.3,,6.0,5.26,Yes
82,3.0,7.0,6.3,4.3,Yes
87,2.3,5.3,5.7,4.44,No
80,1.9,5.8,7.4,5.06,No
68,4.7,1.9,6.0,5.74,No
72,1.4,6.5,4.6,4.74,No
55,2.4,2.5,6.0,5.9,No
100,5.6,1.0,6.6,8.2,Yes
68,1.3,2.8,5.9,4.18,No
56,2.4,5.0,5.8,5.16,No
48,3.1,3.2,7.0,5.64,No
95,2.2,3.8,7.3,5.66,Yes
85,2.5,2.1,4.6,6.52,Yes
77,0.0,3.7,8.0,4.49,No
41,3.4,4.2,5.7,4.55,Yes
75,4.0,3.4,6.6,4.96,No
66,2.1,,7.0,5.12,No
62,3.8,3.5,7.4,6.54,No
90,2.5,3.5,5.6,4.86,No
49,5.3,5.5,6.6,5.98,No
48,,5.2,5.8,2.32,No
45,2.7,5.6,5.9,4.86,No
56,5.2,2.9,6.9,5.56,Yes
49,,1.6,5.4,5.31,No
83,1.5,2.6,7.2,4.88,Yes
56,1.7,2.7,6.0,4.8,Yes
72,1.6,1.4,6.4,4.34,No
60,4.5,3.9,6.4,4.57,No
84,5.8,4.3,5.6,6.54,No
80,2.2,1.7,6.7,5.78,Yes
70,4.6,1.5,9.6,5.82,Yes
94,3.9,2.9,8.2,7.22,Yes
61,3.2,5.4,5.7,4.53,No
64,2.0,0.7,3.7,6.3,Yes
72,2.6,4.8,4.1,4.68,No
79,4.3,3.8,4.0,6.37,Yes
41,2.0,0.0,5.6,5.11,No
87,4.3,2.7,,5.27,No
60,2.1,2.5,5.6,5.55,No
79,2.3,,3.7,5.6,No
58,3.1,2.6,6.1,4.75,No
90,0.9,2.8,7.7,6.11,Yes
85,2.5,2.2,8.4,7.06,Yes
85,4.3,4.6,7.1,6.03,No
76,1.7,1.2,6.3,6.0,Yes
67,4.2,2.7,4.9,5.95,No
44,1.8,2.6,7.3,4.85,No
70,5.4,3.0,4.1,6.45,Yes
87,8.5,1.6,5.4,7.64,Yes
82,0.7,3.1,4.9,,Yes
58,1.5,2.7,7.1,4.25,No
100,4.2,2.2,7.2,6.4,No
85,3.1,3.4,5.5,5.85,No
58,1.8,4.1,6.3,4.45,No
61,1.9,2.5,7.7,5.51,No
54,2.5,1.9,5.4,5.37,No
67,2.5,2.3,5.6,5.56,No
93,2.3,3.4,7.9,5.77,No
76,1.9,2.3,6.5,4.48,No
94,0.1,2.8,7.4,5.65,No
93,3.0,2.1,,6.38,No
90,3.9,2.5,7.8,5.75,Yes
95,3.1,3.0,6.9,6.47,No
69,4.3,3.7,5.8,6.37,No
72,3.4,2.2,6.6,5.05,Yes
49,2.6,2.2,7.9,4.91,No
78,3.1,3.9,6.1,6.28,No
73,2.5,5.0,7.7,6.37,No
99,1.9,0.9,6.2,7.32,Yes
64,0.1,3.1,5.9,5.5,No
54,3.7,,7.4,5.49,No
48,2.3,1.7,5.5,5.1,No
90,0.5,4.0,8.2,5.32,Yes
72,3.5,0.9,7.8,6.91,No
65,0.0,3.7,5.1,5.27,No
73,2.9,4.2,7.6,5.07,No
50,4.1,4.1,7.6,5.29,No
50,4.2,2.6,6.4,4.46,No
95,0.4,3.0,6.7,5.86,No
72,2.6,4.8,4.8,7.2,No
76,3.0,2.4,7.8,5.55,Yes
70,2.5,3.5,5.6,5.5,No
60,5.5,2.6,4.1,,Yes
60,5.2,3.6,5.8,6.65,No
54,2.9,1.5,5.4,5.52,No
87,4.6,2.2,6.8,5.81,No
77,2.0,4.0,8.2,5.09,No
61,3.6,3.0,6.9,6.29,Yes
81,2.5,5.9,7.4,6.58,No
57,5.3,4.9,9.2,5.19,No
85,4.3,6.0,6.2,6.03,No
57,3.8,3.4,4.0,5.46,No
72,4.2,2.1,5.4,5.75,No
59,1.2,0.4,6.9,5.22,No
92,2.0,3.1,5.4,6.42,Yes
91,2.4,2.6,7.5,7.0,Yes
80,4.6,3.4,5.1,5.86,No
68,2.8,2.0,,5.62,No
62,2.7,0.8,4.9,4.29,No
73,2.0,2.7,9.3,6.49,No
59,2.7,3.0,6.2,6.04,No
83,0.8,0.4,6.1,4.29,No
67,4.5,2.4,,,Yes
71,3.6,1.7,7.3,4.44,No
73,3.1,5.4,8.3,5.78,No
93,2.4,3.5,8.8,5.68,No
69,1.8,3.2,7.9,5.53,No
97,3.6,2.2,7.1,5.91,Yes
83,1.3,4.3,6.0,5.15,No
82,1.9,1.8,7.6,4.28,No
60,3.3,6.3,8.0,5.89,No
52,2.4,6.0,6.1,5.41,No
